O*NET-SOC Code,Title,High School Diploma or Less,"Post-Secondary Certificate, Some College, or Associate's Degree",Bachelor's Degree,Postgraduate Degree,Values Achievement,Values Independence,Values Recognition,Values Relationships,Values Support,Values Working Conditions,Interest in Artistic Aspect,Interest in Conventional Aspect,Interest in Enterprising Aspect,Interest in Investigative Aspect,Interest in Realistic Aspect,Interest in Social Aspect
899,51-8021.00,Stationary Engineers and Boiler Operators,0.378,0.622,0.0,0.0,0.381,0.524,0.333,0.667,0.714,0.524,0.143,0.664,0.179,0.463,1.0,0.156
900,51-8031.00,Water and Wastewater Treatment Plant and System Operators,0.418,0.577,0.005,0.0,0.429,0.667,0.333,0.333,0.81,0.404,0.143,0.663,0.209,0.387,0.977,0.217
901,51-8091.00,Chemical Plant and System Operators,0.615,0.017,0.363,0.005,0.476,0.619,0.429,0.571,0.81,0.667,0.143,0.747,0.239,0.466,0.896,0.189
902,51-8092.00,Gas Plant Operators,0.584,0.415,0.0,0.0,0.524,0.667,0.381,0.524,0.857,0.596,0.143,0.756,0.317,0.376,0.944,0.209
903,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.97,0.03,0.0,0.0,0.476,0.619,0.429,0.524,0.81,0.619,0.143,0.723,0.317,0.354,0.881,0.186
905,51-8099.01,Biofuels Processing Technicians,0.731,0.27,0.0,0.0,0.524,0.381,0.381,0.381,0.571,0.524,0.143,0.761,0.304,0.469,0.839,0.143
906,51-9011.00,Chemical Equipment Operators and Tenders,0.506,0.476,0.018,0.0,0.476,0.619,0.333,0.619,0.857,0.524,0.143,0.69,0.181,0.474,0.95,0.15
907,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.9550000000000001,0.034,0.008,0.003,0.286,0.476,0.333,0.381,0.667,0.476,0.143,0.639,0.156,0.327,0.896,0.157
908,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.8109999999999999,0.189,0.0,0.0,0.381,0.381,0.381,0.619,0.714,0.404,0.143,0.619,0.174,0.309,1.0,0.143
909,51-9022.00,"Grinding and Polishing Workers, Hand",0.64,0.359,0.0,0.0,0.239,0.286,0.239,0.476,0.619,0.286,0.241,0.474,0.143,0.199,1.0,0.156
910,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",0.8180000000000001,0.182,0.0,0.0,0.286,0.429,0.286,0.476,0.714,0.404,0.174,0.601,0.169,0.301,0.927,0.149
911,51-9031.00,"Cutters and Trimmers, Hand",0.892,0.109,0.0,0.0,0.286,0.333,0.286,0.524,0.667,0.31,0.313,0.536,0.143,0.174,0.891,0.161
912,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.935,0.062,0.0,0.003,0.333,0.571,0.333,0.524,0.81,0.404,0.16,0.596,0.174,0.217,0.957,0.143
913,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.789,0.172,0.0,0.039,0.333,0.476,0.286,0.429,0.81,0.333,0.183,0.614,0.179,0.319,0.934,0.149
914,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.773,0.20800000000000002,0.018,0.0,0.333,0.571,0.333,0.524,0.904,0.453,0.143,0.647,0.174,0.31,0.984,0.179
915,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.698,0.30200000000000005,0.0,0.0,0.333,0.333,0.239,0.429,0.619,0.404,0.143,0.766,0.197,0.489,0.819,0.143
917,51-9071.06,Gem and Diamond Workers,0.6579999999999999,0.152,0.19,0.0,0.333,0.429,0.381,0.381,0.619,0.404,0.411,0.589,0.303,0.44,0.781,0.164
918,51-9081.00,Dental Laboratory Technicians,0.649,0.275,0.019,0.057,0.524,0.619,0.476,0.524,0.761,0.596,0.207,0.603,0.143,0.639,0.954,0.381
919,51-9082.00,Medical Appliance Technicians,0.27,0.451,0.182,0.098,0.667,0.667,0.524,0.81,0.761,0.69,0.221,0.526,0.143,0.58,1.0,0.446
920,51-9083.00,Ophthalmic Laboratory Technicians,0.612,0.299,0.037,0.051,0.429,0.476,0.381,0.476,0.619,0.453,0.233,0.593,0.177,0.416,0.921,0.269
921,51-9111.00,Packaging and Filling Machine Operators and Tenders,0.97,0.03,0.0,0.0,0.286,0.476,0.239,0.524,0.761,0.286,0.143,0.71,0.264,0.177,0.937,0.144
922,51-9123.00,"Painting, Coating, and Decorating Workers",0.8019999999999999,0.198,0.0,0.0,0.286,0.286,0.286,0.239,0.571,0.286,0.489,0.487,0.143,0.193,0.99,0.223
923,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.894,0.10699999999999998,0.0,0.0,0.333,0.381,0.333,0.429,0.714,0.31,0.301,0.52,0.15,0.213,0.997,0.176
924,51-9141.00,Semiconductor Processing Technicians,0.955,0.040999999999999995,0.001,0.003,0.286,0.381,0.333,0.619,0.761,0.404,0.143,0.734,0.207,0.439,0.917,0.159
925,51-9151.00,Photographic Process Workers and Processing Machine Operators,0.844,0.10500000000000001,0.052,0.0,0.429,0.524,0.333,0.476,0.524,0.429,0.45,0.747,0.186,0.287,0.767,0.164
926,51-9161.00,Computer Numerically Controlled Tool Operators,0.517,0.451,0.032,0.0,0.333,0.476,0.333,0.429,0.714,0.429,0.163,0.777,0.204,0.403,0.914,0.143
927,51-9162.00,Computer Numerically Controlled Tool Programmers,0.239,0.667,0.095,0.0,0.571,0.667,0.524,0.667,0.714,0.547,0.201,0.884,0.244,0.54,0.66,0.23
928,51-9191.00,Adhesive Bonding Machine Operators and Tenders,0.828,0.171,0.0,0.0,0.381,0.381,0.286,0.619,0.714,0.31,0.163,0.607,0.16,0.281,0.934,0.143
929,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.915,0.08499999999999999,0.0,0.0,0.333,0.381,0.239,0.667,0.571,0.357,0.143,0.636,0.143,0.253,1.0,0.143
930,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,0.587,0.413,0.0,0.0,0.381,0.571,0.239,0.476,0.81,0.453,0.143,0.639,0.147,0.34,1.0,0.194
931,51-9194.00,Etchers and Engravers,0.8660000000000001,0.135,0.0,0.0,0.381,0.571,0.381,0.571,0.619,0.404,0.466,0.511,0.143,0.361,0.974,0.186
933,51-9195.03,"Stone Cutters and Carvers, Manufacturing",0.874,0.11699999999999999,0.0,0.01,0.476,0.381,0.333,0.286,0.761,0.404,0.541,0.494,0.143,0.25,1.0,0.177
934,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",0.776,0.22400000000000003,0.0,0.0,0.524,0.619,0.381,0.761,0.761,0.404,0.219,0.677,0.214,0.351,0.967,0.161
935,51-9195.05,"Potters, Manufacturing",0.46499999999999997,0.309,0.177,0.049,0.619,0.429,0.429,0.524,0.381,0.476,0.324,0.504,0.18,0.234,0.997,0.144
936,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",0.8939999999999999,0.10500000000000001,0.0,0.0,0.286,0.381,0.286,0.571,0.714,0.357,0.18,0.649,0.207,0.246,0.933,0.143
937,51-9197.00,Tire Builders,0.925,0.069,0.0,0.005,0.333,0.476,0.333,0.571,0.667,0.453,0.143,0.541,0.143,0.329,1.0,0.157
938,51-9198.00,Helpers--Production Workers,0.815,0.184,0.0,0.0,0.19,0.286,0.19,0.381,0.714,0.31,0.173,0.594,0.243,0.157,0.93,0.24
940,53-1041.00,Aircraft Cargo Handling Supervisors,0.743,0.073,0.185,0.0,0.524,0.761,0.524,0.619,0.761,0.547,0.143,0.684,0.767,0.313,0.657,0.353
941,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.352,0.5630000000000001,0.085,0.0,0.619,0.761,0.571,0.714,0.761,0.571,0.143,0.716,0.843,0.177,0.584,0.506
942,53-1042.01,Recycling Coordinators,0.471,0.228,0.301,0.0,0.81,0.761,0.761,0.761,0.524,0.643,0.143,0.653,0.681,0.321,0.571,0.481
943,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.299,0.45,0.252,0.0,0.619,0.81,0.571,0.761,0.857,0.643,0.143,0.7,0.716,0.257,0.711,0.341
946,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",0.262,0.128,0.61,0.0,0.81,0.904,0.81,0.714,0.904,0.833,0.204,0.67,0.541,0.453,0.677,0.356
947,53-2012.00,Commercial Pilots,0.43699999999999994,0.544,0.006,0.012,0.81,0.904,0.857,0.667,0.953,0.667,0.169,0.654,0.554,0.374,0.691,0.369
948,53-2021.00,Air Traffic Controllers,0.375,0.405,0.201,0.018,0.714,0.761,0.714,0.476,0.857,0.761,0.143,0.691,0.601,0.361,0.677,0.377
949,53-2022.00,Airfield Operations Specialists,0.338,0.153,0.509,0.0,0.571,0.619,0.571,0.524,0.857,0.596,0.143,0.719,0.64,0.501,0.676,0.356
950,53-2031.00,Flight Attendants,0.738,0.13799999999999998,0.124,0.0,0.524,0.667,0.429,0.904,0.857,0.69,0.154,0.653,0.496,0.289,0.613,0.586
951,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.573,0.42700000000000005,0.0,0.0,0.429,0.476,0.429,0.81,0.714,0.453,0.143,0.513,0.22,0.361,0.911,0.661
952,53-3031.00,Driver/Sales Workers,0.995,0.004,0.0,0.0,0.286,0.524,0.286,0.476,0.619,0.453,0.143,0.631,0.491,0.143,0.807,0.351
953,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,0.802,0.197,0.0,0.0,0.381,0.619,0.333,0.429,0.667,0.476,0.143,0.624,0.19,0.276,1.0,0.189
954,53-3033.00,Light Truck Drivers,0.986,0.015,0.0,0.0,0.286,0.429,0.286,0.333,0.667,0.381,0.143,0.65,0.329,0.206,0.95,0.204
956,53-3052.00,"Bus Drivers, Transit and Intercity",0.968,0.032,0.0,0.0,0.429,0.619,0.286,0.714,0.714,0.429,0.143,0.633,0.407,0.143,0.841,0.523
960,53-4011.00,Locomotive Engineers,0.7020000000000001,0.29800000000000004,0.0,0.0,0.381,0.524,0.476,0.619,0.857,0.619,0.143,0.65,0.303,0.493,0.966,0.277
961,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.866,0.134,0.0,0.0,0.333,0.524,0.286,0.619,0.857,0.5,0.143,0.603,0.273,0.33,1.0,0.23
963,53-4031.00,Railroad Conductors and Yardmasters,0.856,0.14300000000000002,0.0,0.0,0.476,0.714,0.429,0.524,0.81,0.619,0.143,0.696,0.539,0.281,0.829,0.264
964,53-4041.00,Subway and Streetcar Operators,0.865,0.135,0.0,0.0,0.333,0.429,0.429,0.714,0.714,0.571,0.143,0.62,0.317,0.189,0.896,0.384
966,53-5011.00,Sailors and Marine Oilers,0.744,0.248,0.0,0.008,0.524,0.381,0.381,0.524,0.81,0.453,0.143,0.564,0.346,0.374,0.997,0.179
967,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",0.46499999999999997,0.443,0.084,0.009000000000000001,0.65,0.826,0.603,0.667,0.699,0.643,0.143,0.651,0.604,0.377,0.801,0.269
968,53-5022.00,Motorboat Operators,0.743,0.10799999999999998,0.139,0.009,0.429,0.667,0.476,0.667,0.667,0.5,0.157,0.507,0.457,0.317,0.933,0.269
969,53-5031.00,Ship Engineers,0.511,0.301,0.082,0.108,0.667,0.714,0.667,0.714,0.714,0.596,0.143,0.671,0.526,0.507,0.939,0.251
970,53-6011.00,Bridge and Lock Tenders,0.8,0.2,0.0,0.0,0.429,0.524,0.333,0.619,0.619,0.524,0.143,0.623,0.376,0.351,0.883,0.249
971,53-6021.00,Parking Attendants,0.991,0.0,0.01,0.0,0.239,0.381,0.19,0.667,0.333,0.239,0.16,0.709,0.454,0.143,0.827,0.433
972,53-6031.00,Automotive and Watercraft Service Attendants,0.749,0.25,0.0,0.0,0.239,0.429,0.239,0.476,0.667,0.31,0.143,0.626,0.307,0.189,0.914,0.281
974,53-6041.00,Traffic Technicians,0.429,0.455,0.117,0.0,0.476,0.714,0.381,0.619,0.619,0.596,0.191,0.656,0.263,0.614,0.721,0.269
976,53-6051.01,Aviation Inspectors,0.292,0.668,0.039,0.0,0.714,0.761,0.619,0.619,0.761,0.667,0.143,0.819,0.37,0.584,0.796,0.204
977,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",0.709,0.29100000000000004,0.0,0.0,0.476,0.476,0.429,0.429,0.761,0.547,0.143,0.734,0.193,0.531,1.0,0.143
978,53-6061.00,Passenger Attendants,0.98,0.02,0.0,0.0,0.381,0.381,0.286,0.667,0.571,0.333,0.143,0.614,0.439,0.153,0.577,0.61
980,53-7011.00,Conveyor Operators and Tenders,0.943,0.055999999999999994,0.0,0.0,0.286,0.524,0.333,0.667,0.857,0.476,0.143,0.679,0.399,0.187,0.907,0.191
981,53-7021.00,Crane and Tower Operators,0.393,0.606,0.0,0.0,0.333,0.667,0.381,0.429,0.81,0.429,0.143,0.564,0.187,0.317,1.0,0.171
982,53-7031.00,Dredge Operators,0.872,0.129,0.0,0.0,0.239,0.333,0.239,0.524,0.667,0.429,0.143,0.497,0.333,0.427,0.947,0.194
983,53-7041.00,Hoist and Winch Operators,0.679,0.32099999999999995,0.0,0.0,0.429,0.667,0.333,0.571,0.857,0.5,0.153,0.476,0.207,0.221,0.984,0.207
984,53-7051.00,Industrial Truck and Tractor Operators,0.959,0.04,0.0,0.0,0.333,0.429,0.333,0.619,0.619,0.357,0.143,0.533,0.17,0.25,1.0,0.163
985,53-7061.00,Cleaners of Vehicles and Equipment,0.778,0.222,0.0,0.0,0.19,0.333,0.143,0.524,0.524,0.261,0.143,0.551,0.143,0.153,1.0,0.169
986,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",0.995,0.006,0.0,0.0,0.286,0.286,0.286,0.619,0.619,0.31,0.143,0.657,0.259,0.143,0.876,0.204
987,53-7062.04,Recycling and Reclamation Workers,0.76,0.16,0.0,0.08,0.381,0.333,0.333,0.429,0.524,0.429,0.143,0.627,0.227,0.291,0.897,0.183
988,53-7063.00,Machine Feeders and Offbearers,0.9369999999999999,0.063,0.0,0.0,0.286,0.333,0.286,0.619,0.619,0.31,0.143,0.657,0.143,0.291,1.0,0.143
989,53-7064.00,"Packers and Packagers, Hand",0.863,0.137,0.0,0.0,0.239,0.286,0.19,0.619,0.429,0.239,0.189,0.809,0.351,0.206,0.789,0.199
990,53-7065.00,Stockers and Order Fillers,0.6439999999999999,0.354,0.003,0.0,0.286,0.404,0.261,0.643,0.607,0.327,0.143,0.907,0.471,0.143,0.654,0.277
991,53-7071.00,Gas Compressor and Gas Pumping Station Operators,0.646,0.354,0.0,0.0,0.333,0.524,0.286,0.476,0.667,0.476,0.143,0.693,0.217,0.333,0.877,0.22
992,53-7072.00,"Pump Operators, Except Wellhead Pumpers",0.609,0.21500000000000002,0.176,0.0,0.333,0.524,0.333,0.524,0.81,0.453,0.143,0.644,0.209,0.323,0.953,0.183
993,53-7073.00,Wellhead Pumpers,0.8180000000000001,0.183,0.0,0.0,0.333,0.429,0.333,0.619,0.81,0.453,0.143,0.623,0.267,0.344,0.967,0.153
994,53-7081.00,Refuse and Recyclable Material Collectors,0.831,0.169,0.0,0.0,0.286,0.333,0.19,0.571,0.619,0.404,0.143,0.63,0.221,0.253,1.0,0.199
995,53-7121.00,"Tank Car, Truck, and Ship Loaders",0.9339999999999999,0.048,0.018,0.0,0.381,0.714,0.333,0.667,0.857,0.429,0.143,0.669,0.187,0.277,0.98,0.143
